Sr No. ,Tr,N(RPM)
1,0.968843979309515,5
2,1.05853721019598,10
3,1.22164719798906,15
4,1.12194525904203,20
5,1.08228389778702,25
6,1.05714285714286,30
7,0.964345139053958,35
8,0.950351288056206,40
9,0.900697442710063,45
10,0.853476385820974,50
11,0.833830027746377,55
12,0.721014814157722,60
13,0.788401861908456,65
14,0.716868001058108,70
15,0.705841566996013,75
16,0.634108285223904,80
17,0.629291679554593,85
18,0.613770194775781,90
19,0.607810863384707,95
20,0,100
