Sr No. ,Tr,N(RPM)
1,0,5
2,0,10
3,0,15
4,0,20
5,0.879412490743026,25
6,0,30
7,0.670177987649836,35
8,0,40
9,0.627943485086342,45
10,0,50
11,0.872,55
12,0,60
13,0.788401861908456,65
14,0,70
15,0.854149203688181,75
16,0.768669231528065,80
17,0.767041564792176,85
18,0,90
19,0,95
20,0,100
