Sr No. ,Tr,N(RPM)
1,3.26882352941176,5
2,0,10
3,0.414634146341463,15
4,0,20
5,1.58867469879518,25
6,0,30
7,1.66837231968811,35
8,0,40
9,1.5924841386042,45
10,0,50
11,1.72291361639824,55
12,0,60
13,1.55647718955843,65
14,0,70
15,1.50628125381144,75
16,0,80
17,1.61704725851752,85
18,1.42341022824362,90
19,0,95
20,0,100
